model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier
Logistic Regression,0.542580692813354,0.523011982570806,0.5881182054815496,0.5536576576576576,0.577994137024056,0.6582478277185513,0.31291888321393546
Random Forest,0.6798877317379423,0.8517451168747999,0.40728831725616294,0.5510669152682826,0.6328052735321323,0.7247402176926111,0.25370593121389645
