model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,best_epoch,best_val_loss,seed,calibration,auc_ci_lo,auc_ci_hi
GRU (2-layer),0.8416123778501629,0.0,0.0,0.0,0.427634782871937,0.12644904231815646,0.1335539199270109,3.0,0.5179512229127189,43.0,platt,0.296,0.575
CNN (3-layer),0.8514861563517915,0.0,0.0,0.0,0.5130923506664613,0.1649598348062697,0.13006784922994633,2.0,0.5397865992660323,43.0,platt,0.309,0.683
Random Forest,0.7198697068403909,0.08964646464646464,0.09779614325068871,0.09354413702239789,0.4129415544929379,0.11955216419307566,0.18908577063695753,,,43.0,,,
Ensemble (avg),0.837235342019544,0.006711409395973154,0.0006887052341597796,0.0012492192379762648,0.4076724494214613,0.11893829163799757,0.14969020464695965,,,,,,
Ensemble (60%GRU),0.8382532573289903,0.0,0.0,0.0,0.40773768392345466,0.11958400552699412,0.14460220520136596,,,,,,
