epoch,train_loss,val_loss
1,0.6211924022749851,0.40082427184959807
2,0.4801909936101813,0.4385356427015655
3,0.434497983204691,0.5101563450844474
4,0.4011814252326363,0.5736707230895534
5,0.3709968681398191,0.6137493070767703
6,0.34626899000845457,0.6371014987836738
