feature,importance
hr_std,0.08412511318611215
night_steps_sum,0.05949855250921199
night_hr_mean,0.059311169881617436
intensity_std,0.05488457932428476
intensity_max,0.05094790807836062
steps_max,0.050069336767668185
night_active_frac,0.045901771803891815
day_active_frac,0.04276480443539778
hr_max,0.04245660569154886
hr_median,0.03877341340278696
steps_mean,0.036837972057591165
intensity_mean,0.03551262500284342
hr_missing_pct,0.03535236369740577
activity_frac_activity_high,0.034835289520554084
active_minute_frac,0.03476654689778262
day_hr_mean,0.03415633910572389
hr_mean,0.033767636016982495
activity_frac_sleep,0.033592579706317835
activity_frac_walk,0.03346768420489466
activity_frac_unknown,0.02994481107471544
steps_sum,0.029474339418473567
day_steps_sum,0.028980327578308242
activity_frac_sedentary,0.02445517323360762
hr_min,0.01250307092644323
activity_frac_running,0.008778393712620326
hr_slope,0.00788975963400109
steps_slope,0.005391991473155397
activity_frac_charging,0.005224430482327665
observed_minutes,0.002135008238784741
coverage,0.002109877162170655
n_rows_in_window,0.0011371829440666142
activity_frac_not_worn,0.0009533428303489407
