model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,best_epoch,best_val_loss,seed,calibration,auc_ci_lo,auc_ci_hi
GRU (2-layer),0.5176540109321909,0.0,0.0,0.0,0.5132331699672044,0.5159227172813063,0.4314976355938732,2.0,0.7505126341625497,42.0,platt,0.232,0.769
CNN (3-layer),0.5176540109321909,0.0,0.0,0.0,0.35278527668226034,0.46566664134059627,0.43368798726780106,3.0,0.7478299421706686,42.0,platt,0.061,0.749
Random Forest,0.5231939725217906,0.5088173054314602,0.33139356814701376,0.4013725308355745,0.5009526085261561,0.5557716741980936,0.28896212166893864,,,42.0,,,
Ensemble (avg),0.5176540109321909,0.0,0.0,0.0,0.501127938667338,0.5560361199687689,0.32160140213236654,,,,,,
Ensemble (60%GRU),0.5176540109321909,0.0,0.0,0.0,0.501649307376562,0.5554167396517357,0.3374000925848216,,,,,,
