model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier
Logistic Regression,0.542580692813354,0.523011982570806,0.5881182054815496,0.5536576576576576,0.577994137024056,0.6582478277185514,0.3129188837791274
Random Forest,0.678410517763498,0.8542141230068337,0.40192926045016075,0.5466472303206997,0.6328503693134744,0.7243101965220506,0.2538765349007913
XGBoost,0.6120836103109536,0.8121034651049293,0.2547848721482162,0.3878787878787879,0.5810718694788256,0.6536348988346992,0.3121089041233063
