accuracy,precision,recall,f1,roc_auc,pr_auc,brier,auc_ci_lo,auc_ci_hi,model,subset,seed,n_features
0.5176540109321909,0.0,0.0,0.0,0.491012164177278,0.5225414473466083,0.4226868837890827,0.1811176724275152,0.8076948331137671,RandomForest,ENG_only,42,32
0.5176540109321909,0.0,0.0,0.0,0.49860781508947116,0.5304662338472651,0.4304696891001564,0.27926849636328094,0.7884154316848527,LightGBM,ENG_only,42,32
0.5176540109321909,0.0,0.0,0.0,0.4899556818022894,0.5223496187532221,0.4376621950899332,0.23759473465343384,0.7951618086986466,XGBoost,ENG_only,42,32
0.8521986970684039,0.0,0.0,0.0,0.4072756130562455,0.11770409671997357,0.13267945336504833,0.24601684009601305,0.5034816563478983,RandomForest,ENG_only,43,32
0.8521986970684039,0.0,0.0,0.0,0.41826182710570065,0.12845318083430263,0.13025285080403076,0.23440570080797518,0.5024424512981702,LightGBM,ENG_only,43,32
0.8521986970684039,0.0,0.0,0.0,0.42110055622901466,0.12758296224504706,0.13031574005230304,0.24700611098869724,0.5099440083912766,XGBoost,ENG_only,43,32
0.7941415785191213,0.0,0.0,0.0,0.4860690948148628,0.19272804830608967,0.16545081309663617,0.42590964408458565,0.5720921711323592,RandomForest,ENG_only,44,32
0.7941415785191213,0.0,0.0,0.0,0.49417666508275915,0.1970073793723357,0.16526640446512442,0.37582295104677005,0.6391477485422787,LightGBM,ENG_only,44,32
0.7941415785191213,0.0,0.0,0.0,0.4913690540472436,0.1983727109121012,0.16503930254028976,0.38343809903808634,0.6369869423700423,XGBoost,ENG_only,44,32
0.8716807123549054,0.0,0.0,0.0,0.5519548713441806,0.1379952262204437,0.1144652883763059,0.39807579426223494,0.6627853435078337,RandomForest,ENG_only,45,32
0.8716807123549054,0.0,0.0,0.0,0.5630751898632316,0.18301985755374728,0.11508902948707038,0.38260757441791926,0.7359933185043079,LightGBM,ENG_only,45,32
0.8716807123549054,0.0,0.0,0.0,0.5837330870389383,0.1729602256890881,0.11427115702274625,0.4372065913014188,0.7425829953864402,XGBoost,ENG_only,45,32
0.11626371812855846,0.11619079055949827,1.0,0.2081916309330179,0.4100435591914854,0.10637476160387903,0.33805105852318407,0.30135004478399874,0.6738377932048434,RandomForest,ENG_only,46,32
0.1161812030695602,0.1161812030695602,1.0,0.20817624011236785,0.4707238628937116,0.11074527801974365,0.33009582091223094,0.3211975441293289,0.651689553498548,LightGBM,ENG_only,46,32
0.1161812030695602,0.1161812030695602,1.0,0.20817624011236785,0.5314044981370044,0.13761440089213697,0.3154331172454941,0.32544015041984364,0.6800665645894687,XGBoost,ENG_only,46,32
0.5176540109321909,0.0,0.0,0.0,0.1990287735040942,0.3344407680966384,0.450496246703974,0.052576689230899726,0.5227322617200727,RandomForest,MM_inhaler_pef,42,21
0.5176540109321909,0.0,0.0,0.0,0.19530082006475208,0.33317106866611296,0.4293733330416916,0.08332571333794853,0.5193686503146884,LightGBM,MM_inhaler_pef,42,21
0.5176540109321909,0.0,0.0,0.0,0.19551843397525995,0.3346681034508439,0.4298728749881672,0.0802887157151034,0.5135728725145616,XGBoost,MM_inhaler_pef,42,21
0.8521986970684039,0.0,0.0,0.0,0.5355562997608451,0.260242499533508,0.14840362629564965,0.2491296130508306,0.8724348026936111,RandomForest,MM_inhaler_pef,43,21
0.8521986970684039,0.0,0.0,0.0,0.5623410268914222,0.27433220468085007,0.13839848293585455,0.3369035475461861,0.8154713847677524,LightGBM,MM_inhaler_pef,43,21
0.8521986970684039,0.0,0.0,0.0,0.5673723098377249,0.2880056730386412,0.13562922710136532,0.31816373221923805,0.8401321534369902,XGBoost,MM_inhaler_pef,43,21
0.7941415785191213,0.0,0.0,0.0,0.5366116618789463,0.25718821885707804,0.1647136831565559,0.4074300872456055,0.6847141239375965,RandomForest,MM_inhaler_pef,44,21
0.7941415785191213,0.0,0.0,0.0,0.5780926018920495,0.30458196994749104,0.16327512788939275,0.4828398179610019,0.7432324439849188,LightGBM,MM_inhaler_pef,44,21
0.7941415785191213,0.0,0.0,0.0,0.5440176668682549,0.2578937565964438,0.16499886904736213,0.46172550290521686,0.7523787099627965,XGBoost,MM_inhaler_pef,44,21
0.8716807123549054,0.0,0.0,0.0,0.63439861988339,0.27456733394318766,0.11151304598868524,0.566969351544134,0.6896788891950701,RandomForest,MM_inhaler_pef,45,21
0.8716807123549054,0.0,0.0,0.0,0.670112437369659,0.2622006348837796,0.11230325525458931,0.5911402147091144,0.7176444727579838,LightGBM,MM_inhaler_pef,45,21
0.8716807123549054,0.0,0.0,0.0,0.6258180992926271,0.30869397664958753,0.11069755680411927,0.5488196340107168,0.6735675320831837,XGBoost,MM_inhaler_pef,45,21
0.42577770443105867,0.0800423664699652,0.3757102272727273,0.1319695646750655,0.36538739777925844,0.12964623861778563,0.3619241325411149,0.19078434764281604,0.5723455733599297,RandomForest,MM_inhaler_pef,46,21
0.44525125835464974,0.05979791287063111,0.25639204545454547,0.09697783747481531,0.39838514966559446,0.09069805665999889,0.3591553784527391,0.201373586348819,0.623952299201149,LightGBM,MM_inhaler_pef,46,21
0.44846934565558216,0.0835175244711083,0.3757102272727273,0.13665719452337896,0.4164504908399182,0.09626946091180472,0.36488839890371677,0.2389815563428037,0.6448188555470019,XGBoost,MM_inhaler_pef,46,21
0.5664056729206678,1.0,0.10107197549770292,0.1835883171070932,0.7825816655828037,0.8139850790304889,0.3184518489954066,0.46088254591154,0.9746462133170807,RandomForest,MM_full,42,87
0.5176540109321909,0.0,0.0,0.0,0.36249188195333093,0.4328646631349116,0.4156211101684025,0.11298053898569545,0.5862257246964572,LightGBM,MM_full,42,87
0.5176540109321909,0.0,0.0,0.0,0.30654034854937173,0.4089718454346706,0.435223579418465,0.09911802665142169,0.542083333308628,XGBoost,MM_full,42,87
0.7213965798045603,0.0,0.0,0.0,0.2662530157589446,0.09879190961508937,0.20769105097477109,0.054974266798553176,0.35382362182738786,RandomForest,MM_full,43,87
0.8521986970684039,0.0,0.0,0.0,0.5276245493636798,0.2198654604519058,0.12720884741907112,0.20363334158383742,0.725790940516264,LightGBM,MM_full,43,87
0.8521986970684039,0.0,0.0,0.0,0.4666126857332391,0.14818589044180233,0.13074225802628706,0.2384695164164188,0.653981305969772,XGBoost,MM_full,43,87
0.7941415785191213,0.0,0.0,0.0,0.47365055130780365,0.18636898790967077,0.19500386424623892,0.31665069888140907,0.8047677214948277,RandomForest,MM_full,44,87
