model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std
Logistic Regression,0.6509797194725658,0.1332762633269263,0.32233147856264505,0.27704326924762107,0.3388744276563142,0.23370232604635402,0.2982581833671831,0.23462388849660443,0.5425769987131697,0.20091902930949695,0.34660321407606526,0.2768435550199432,0.2534215054022372,0.11022977903090667
Random Forest,0.7571164426618807,0.1556811603595745,0.38114633730089637,0.3370890661459911,0.2186055456347659,0.30891329207777163,0.2541328850282534,0.34185287454931107,0.612327477131228,0.22659283944902223,0.3944161727965597,0.3216071511097443,0.1983311768586959,0.09761192141793272
