model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,tab_dim,best_epoch,best_val_loss
SW_only,0.517615776645247,0.0,0.0,0.0,0.5812851786422185,0.5516180384209415,0.4256771438819463,0,8,0.768229
SW_inhaler,0.517615776645247,0.0,0.0,0.0,0.7905974553044874,0.8310561229393627,0.39877893713926565,6,1,0.847938
SW_inhaler_pef,0.517615776645247,0.0,0.0,0.0,0.750315714166857,0.8013559259774145,0.39898403345039934,21,2,0.798401
SW_inhaler_pef_dailyQ,0.7692591771918162,0.9888091822094691,0.5276374215280968,0.6880990415335463,0.9125870824882244,0.9331025341519718,0.20520502000251514,24,1,0.568454
Full,0.8897998375064629,0.9970408364568949,0.7738478027867095,0.8713793103448276,0.929599848352326,0.9542132728843348,0.10666587082862977,90,1,0.318637
