accuracy,precision,recall,f1,roc_auc,pr_auc,brier,auc_ci_lo,auc_ci_hi,model,subset,seed,n_features,n_estimators_used
0.5176540109321909,0.0,0.0,0.0,0.5668653020481514,0.5815202643201295,0.4205532380081651,0.36858949352859993,0.7159500301439748,LightGBM_ENG_only,ENG_only,42,32,1
0.8521986970684039,0.0,0.0,0.0,0.45475650008752777,0.1359805342744526,0.1279923849019981,0.27760245065379885,0.5708239998331106,LightGBM_ENG_only,ENG_only,43,32,9
0.7941415785191213,0.0,0.0,0.0,0.5004858028791118,0.19760502786879447,0.16365579547761563,0.43565716431811047,0.6058351373212154,LightGBM_ENG_only,ENG_only,44,32,10
0.8716807123549054,0.0,0.0,0.0,0.49167694023518227,0.12217463629082538,0.11514994622000882,0.4332135979854836,0.5677740065434398,LightGBM_ENG_only,ENG_only,45,32,1
0.1161812030695602,0.1161812030695602,1.0,0.20817624011236785,0.5758514239821424,0.13944564281105556,0.31859821486636947,0.4114603879026956,0.6626533184646503,LightGBM_ENG_only,ENG_only,46,32,8
0.5176540109321909,0.0,0.0,0.0,0.625630530760732,0.6955912961218113,0.41956716566097213,0.29245631974129016,0.8270602120607751,LightGBM_ENG_inhaler,ENG_inhaler,42,38,1
0.8521986970684039,0.0,0.0,0.0,0.566493782896945,0.19819146315866332,0.13298590551193154,0.3406149113185127,0.8456323165667678,LightGBM_ENG_inhaler,ENG_inhaler,43,38,96
0.7922430160021697,0.34782608695652173,0.010540184453227932,0.020460358056265986,0.5242894127482954,0.2182696595637239,0.16754708133856758,0.4096452092333275,0.6813231067897633,LightGBM_ENG_inhaler,ENG_inhaler,44,38,25
0.8716807123549054,0.0,0.0,0.0,0.6097952881278236,0.19249037622341725,0.11236834607440488,0.5015945982353337,0.7535017662181922,LightGBM_ENG_inhaler,ENG_inhaler,45,38,33
0.40902714745441043,0.13001543209876543,0.7180397727272727,0.22016550522648085,0.5669528286022865,0.14378483631155797,0.3071521941731842,0.39705346783224604,0.6592373670567719,LightGBM_ENG_inhaler,ENG_inhaler,46,38,9
0.5176540109321909,0.0,0.0,0.0,0.6961884077352857,0.7317305396246927,0.4196171657775704,0.41493955605124744,0.8482839423011237,LightGBM_ENG_inhaler_pef,ENG_inhaler_pef,42,53,1
0.8498574918566775,0.07407407407407407,0.0013774104683195593,0.002704530087897228,0.5414639296803327,0.1896019680979673,0.13918045032630272,0.28879719946341725,0.8621641466920835,LightGBM_ENG_inhaler_pef,ENG_inhaler_pef,43,53,87
0.7941415785191213,0.0,0.0,0.0,0.558230311849788,0.23036756004135509,0.16444507903530448,0.4305794032356532,0.6533332970051005,LightGBM_ENG_inhaler_pef,ENG_inhaler_pef,44,53,39
0.8716807123549054,0.0,0.0,0.0,0.3990806681956087,0.14200086727935685,0.11591256176391933,0.2598612251657914,0.5490292651714151,LightGBM_ENG_inhaler_pef,ENG_inhaler_pef,45,53,58
0.41909398465219905,0.12543229582335727,0.6697443181818182,0.21129285234147435,0.5006196834074571,0.1209049264839959,0.3172765571530583,0.3955043706439376,0.5500140952579216,LightGBM_ENG_inhaler_pef,ENG_inhaler_pef,46,53,11
0.5176540109321909,0.0,0.0,0.0,0.7379922508163936,0.7642850072072215,0.41471026722565035,0.4047569986493388,0.9399673863574571,LightGBM_ENG_full,ENG_full,42,119,25
0.8521986970684039,0.0,0.0,0.0,0.2634655775713088,0.12521536034382758,0.12986636540219368,0.057625918385412034,0.4603363424684702,LightGBM_ENG_full,ENG_full,43,119,1
0.7941415785191213,0.0,0.0,0.0,0.4239677152854273,0.18354973646752099,0.1636460210513351,0.33132899949045846,0.5716865689611768,LightGBM_ENG_full,ENG_full,44,119,1
0.8716807123549054,0.0,0.0,0.0,0.1609813936519518,0.13203534031413613,0.11524033965515956,0.04937813254130313,0.3396694214876033,LightGBM_ENG_full,ENG_full,45,119,1
0.1161812030695602,0.1161812030695602,1.0,0.20817624011236785,0.4357446226691337,0.14028178402124183,0.32961426348181516,0.14858329579268809,0.7852088574498475,LightGBM_ENG_full,ENG_full,46,119,1
0.5176540109321909,0.0,0.0,0.0,0.1918160911703623,0.3620844165912345,0.420911500130964,0.11024373612084923,0.6173926405302456,LightGBM_MM_inhaler_pef,MM_inhaler_pef,42,21,1
0.8521986970684039,0.0,0.0,0.0,0.5880728708050842,0.21202238120537392,0.12708544507859917,0.3492576221239941,0.8501936669025754,LightGBM_MM_inhaler_pef,MM_inhaler_pef,43,21,1
0.7941415785191213,0.0,0.0,0.0,0.5589275461313059,0.23804254172898365,0.16291066981188165,0.43828287585708336,0.7356128846576435,LightGBM_MM_inhaler_pef,MM_inhaler_pef,44,21,12
0.8716807123549054,0.0,0.0,0.0,0.41015950817070806,0.24638937201276928,0.11514543379357213,0.33388825894847113,0.48486540824304697,LightGBM_MM_inhaler_pef,MM_inhaler_pef,45,21,1
0.35052397062463897,0.1032535297728668,0.5973011363636364,0.17607034439443106,0.39558797084136105,0.09360107575754979,0.35783010089711587,0.2792966392362086,0.6424865575751092,LightGBM_MM_inhaler_pef,MM_inhaler_pef,46,21,3
0.5176540109321909,0.0,0.0,0.0,0.2516525414839833,0.38737646389403485,0.4234185577809548,0.10579676992429989,0.5066409309135483,LightGBM_MM_full,MM_full,42,87,3
0.8521986970684039,0.0,0.0,0.0,0.27134171822907,0.14064156994287433,0.12749579492726054,0.014871204744622446,0.8532195212469845,LightGBM_MM_full,MM_full,43,87,1
0.7941415785191213,0.0,0.0,0.0,0.40856680219875163,0.17916795351519552,0.1635830801755436,0.2845208700814693,0.5716865689611768,LightGBM_MM_full,MM_full,44,87,1
0.8716807123549054,0.0,0.0,0.0,0.39628544381137865,0.13365636753624638,0.11514996383370636,0.26291079812206575,0.5409143973763519,LightGBM_MM_full,MM_full,45,87,1
0.1161812030695602,0.1161812030695602,1.0,0.20817624011236785,0.7373203113727604,0.2733914621572609,0.31025921099659864,0.5719519911587801,0.8550739128708404,LightGBM_MM_full,MM_full,46,87,2
