accuracy,precision,recall,f1,roc_auc,pr_auc,brier,auc_ci_lo,auc_ci_hi,variant,seed,best_epoch,tab_dim
0.5176540109321909,0.0,0.0,0.0,0.7149386044039803,0.7722523313357559,0.39469325939066724,0.36824670234295637,0.9060761380031225,baseline,42,6,21
0.6911644951140065,0.24401294498381876,0.5192837465564738,0.33201232937032144,0.6091719133962217,0.30488753498291055,0.1729103028756055,0.34781771581048665,0.9134951058940605,baseline,43,4,21
0.7941415785191213,0.0,0.0,0.0,0.5634332454984629,0.24487284864070108,0.16415478927654972,0.4734858764710796,0.670547693789341,baseline,44,1,21
0.8716807123549054,0.0,0.0,0.0,0.5890441489936424,0.17161135761802868,0.11144332784545508,0.405180018613185,0.7904358210795492,baseline,45,2,21
0.4813103391368925,0.14866032843560933,0.7329545454545454,0.24718562874251496,0.6463028065349131,0.17973040779081592,0.31908504652888803,0.3370145669683863,0.7405062667939996,baseline,46,4,21
0.5176540109321909,0.0,0.0,0.0,0.6845434139587573,0.762886671937667,0.33461732337989153,0.3326426744254,0.9003373212603425,A1_per_patient_norm,42,1,21
0.8496539087947883,0.43523316062176165,0.05785123966942149,0.10212765957446808,0.5675441570945524,0.20232725479119584,0.15430955182055892,0.35363880123982255,0.8540008989654762,A1_per_patient_norm,43,1,21
0.7889883374016816,0.25,0.012516469038208168,0.02383939774153074,0.5571843479340807,0.23812432359962626,0.16720730677032863,0.32519473122553144,0.7239007738072516,A1_per_patient_norm,44,1,21
0.8716807123549054,0.0,0.0,0.0,0.6138266183300354,0.2151199842465729,0.11032535126271548,0.4129039614281991,0.8422608684618396,A1_per_patient_norm,45,1,21
0.7119399290370493,0.19502196193265006,0.47301136363636365,0.2761766535351441,0.6923871142453383,0.20890914109225783,0.21528977214285935,0.49790951253782334,0.8122567708355859,A1_per_patient_norm,46,3,21
