algo,subset,threshold,input_length_days,washout_days,val_pr_auc,val_roc_auc,val_f1,test_pr_auc,test_roc_auc,test_f1
lr,smartinhaler_only,3,14,0,0.0357142857142857,0.8907103825136611,0.0689655172413793,0.0184054553015905,0.5960982658959537,0.04
lr,smartinhaler_only,4,14,0,0.0357142857142857,0.8907103825136612,0.0689655172413793,0.024150563467877,0.6705202312138728,0.0333333333333333
lr,smartinhaler_only,2,14,0,0.0357142857142857,0.8907103825136612,0.0689655172413793,0.0078869231720895,0.4653179190751444,0.0
rf,no_smartinhaler,3,14,7,1.0,1.0,0.4,0.0118790530179083,0.3959580838323353,0.0
rf,all,4,14,7,0.25,0.989071038251366,0.0,0.0310913066620632,0.6638059701492538,0.0
rf,all,3,14,0,0.25,0.9836065573770492,0.0,0.0108523416587674,0.3742774566473988,0.0
xgb,smartinhaler_only,4,14,14,0.0666666666666666,0.9617486338797816,0.1111111111111111,0.1638257575757575,0.963785046728972,0.135593220338983
xgb,smartinhaler_only,2,14,7,0.0555555555555555,0.9453551912568308,0.0,0.0143325143325143,0.6961077844311377,0.0
xgb,smartinhaler_only,4,14,7,0.0526315789473684,0.9398907103825136,0.0,0.0586595613855298,0.746268656716418,0.0606060606060606
