sensor_tag,threshold,input_length_days,washout_days,n_features,n_train,n_val,n_test,train_users,val_users,test_users,train_positive,val_positive,test_positive,seed,algo,params,param_C,param_class_weight,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,param_n_estimators,param_max_depth,param_min_samples_leaf,param_learning_rate,param_subsample,param_scale_pos_weight
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=500,,balanced,0.9953917050691244,0.0,0.0,0.0,0.7268518518518519,0.015625,0.031078673532201433,500.0,10.0,1.0,,,
all,4,3,7,427,876,217,397,13,3,4,54,1,5,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=500,,balanced,0.9953917050691244,0.0,0.0,0.0,0.7268518518518517,0.015625,0.02931180220201523,500.0,10.0,1.0,,,
all,4,14,14,427,622,184,325,11,3,4,50,1,4,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=500,,balanced,0.9945652173913043,0.0,0.0,0.0,0.6502732240437159,0.015384615384615385,0.10996570195261665,500.0,6.0,1.0,,,
all,2,3,7,427,867,217,394,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=500,,balanced,0.9953917050691244,0.0,0.0,0.0,0.7083333333333333,0.014705882352941176,0.06406927498015133,500.0,6.0,1.0,,,
all,4,14,14,427,622,184,325,11,3,4,50,1,4,42,xgb,learning_rate=0.1;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=1.0,,,0.6358695652173914,0.0,0.0,0.0,0.5792349726775956,0.01282051282051282,0.27139785251356596,200.0,3.0,,0.1,1.0,auto
all,2,7,0,427,857,203,384,13,3,4,52,1,3,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=500,,balanced,0.9802955665024631,0.0,0.0,0.0,0.5940594059405941,0.011904761904761904,0.06873011969490418,500.0,6.0,1.0,,,
all,4,7,7,427,783,203,373,13,3,4,51,1,5,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=1.0,,,0.9556650246305419,0.0,0.0,0.0,0.5742574257425743,0.011363636363636364,0.027882347183185406,200.0,3.0,,0.05,1.0,auto
all,4,3,14,427,789,217,385,13,3,4,54,1,5,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=200,,balanced,0.9953917050691244,0.0,0.0,0.0,0.5833333333333334,0.010526315789473684,0.034632893686009886,200.0,10.0,1.0,,,
all,4,7,7,427,783,203,373,13,3,4,51,1,5,42,rf,class_weight=balanced;max_depth=None;min_samples_leaf=1;n_estimators=500,,balanced,0.9950738916256158,0.0,0.0,0.0,0.5297029702970297,0.010309278350515464,0.032682972454926476,500.0,,1.0,,,
all,2,7,7,427,773,203,370,13,3,4,52,1,3,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=500,,balanced,0.9950738916256158,0.0,0.0,0.0,0.5198019801980198,0.010101010101010102,0.051545317697169864,500.0,10.0,1.0,,,
