threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
2,3,7,867,217,394,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,27,0.3885127902030945,0.8847926267281107,0.0,0.0,0.0,0.8564814814814815,0.02631578947368421,0.1018685534482601,0.9923857868020305,0.0,0.0,0.0,0.26854219948849106,0.006795287984799299,0.007568388917402352
4,14,14,622,184,325,50,1,4,72,42,cnn,dropout=0.2,,,0.2,4,0.4477468008796374,0.8043478260869565,0.0,0.0,0.0,0.7978142076502732,0.02631578947368421,0.13208554197928613,0.9876923076923076,0.0,0.0,0.0,0.9003115264797508,0.07089242811749205,0.012184697956253071
4,3,14,789,217,385,54,1,5,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,26,0.4906147356544222,0.8341013824884793,0.0,0.0,0.0,0.8240740740740741,0.02564102564102564,0.13394389788812028,0.987012987012987,0.0,0.0,0.0,0.2773684210526316,0.011001999723752834,0.012890872839698751
4,14,7,671,184,339,50,1,4,72,42,cnn,dropout=0.2,,,0.2,3,0.5013382161657015,0.7934782608695652,0.02564102564102564,1.0,0.05,0.7923497267759563,0.02564102564102564,0.1468348000042452,0.9882005899705014,0.0,0.0,0.0,0.7186567164179105,0.0300689026834065,0.011696437934508355
3,3,7,871,217,396,53,1,5,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,30,0.35906505797590527,0.8940092165898618,0.0,0.0,0.0,0.8101851851851852,0.020833333333333332,0.08500387143093911,0.9873737373737373,0.0,0.0,0.0,0.12685421994884913,0.008410969901289705,0.012534109188496111
2,3,0,963,217,408,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,27,0.3841601737907955,0.8986175115207373,0.0,0.0,0.0,0.7546296296296297,0.016666666666666666,0.08052570211547781,0.9926470588235294,0.0,0.0,0.0,0.13415637860082302,0.00557176962117272,0.007307130802270092
2,3,14,783,217,382,55,1,3,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,24,0.524652510881424,0.7972350230414746,0.0,0.0,0.0,0.7268518518518519,0.016666666666666666,0.13843378624356537,0.9921465968586387,0.0,0.0,0.0,0.0756376429199648,0.0056021168506982695,0.007803124155935987
2,3,7,867,217,394,55,1,3,72,42,rnn,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,28,0.5255947538784572,0.8018433179723502,0.0,0.0,0.0,0.7314814814814815,0.015384615384615385,0.1458945505610958,0.9923857868020305,0.0,0.0,0.0,0.08013640238704178,0.005457969290822318,0.007567360147800787
3,3,14,785,217,384,53,1,5,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,27,0.3935680996094431,0.9032258064516129,0.0,0.0,0.0,0.6944444444444444,0.014925373134328358,0.07001428967226755,0.9869791666666666,0.0,0.0,0.0,0.8147757255936675,0.04580788472374707,0.012920723271620834
2,3,14,783,217,382,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,1,0.7641177943774632,0.3317972350230415,0.00684931506849315,1.0,0.013605442176870748,0.5787037037037037,0.01020408163265306,0.262349014761581,0.9921465968586387,0.0,0.0,0.0,0.9164467897977132,0.18888888888888888,0.0078025987278592095
2,7,14,716,203,358,52,1,3,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,1,1.0066752944673811,0.3448275862068966,0.007462686567164179,1.0,0.014814814814814815,0.4975247524752475,0.009615384615384616,0.35003687466186817,0.9916201117318436,0.0,0.0,0.0,0.4657276995305164,0.01795070560959957,0.008321646098104577
4,14,7,671,184,339,50,1,4,72,42,gru,dropout=0.2;hidden_dim=32;num_layers=1,32.0,1.0,0.2,1,0.7951762874921163,0.41847826086956524,0.009259259259259259,1.0,0.01834862385321101,0.4207650273224044,0.009345794392523364,0.27380670530435436,0.9882005899705014,0.0,0.0,0.0,0.5194029850746269,0.015110740000642206,0.011701126250505354
2,14,0,713,184,348,51,1,2,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,6,1.0690227548281352,0.2554347826086957,0.007246376811594203,1.0,0.014388489208633094,0.3770491803278688,0.008695652173913044,0.40268958122996207,0.9942528735632183,0.0,0.0,0.0,0.800578034682081,0.5071428571428571,0.005714049523584504
3,14,7,665,184,338,48,1,4,72,42,gru,dropout=0.4;hidden_dim=64;num_layers=2,64.0,2.0,0.4,1,0.8890074988206228,0.13043478260869565,0.006211180124223602,1.0,0.012345679012345678,0.3770491803278688,0.008695652173913044,0.321363231614445,0.9881656804733728,0.0,0.0,0.0,0.7035928143712575,0.023440452672248327,0.011735924558314334
