model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,best_epoch,best_val_loss,seed,calibration,auc_ci_lo,auc_ci_hi
GRU (2-layer),0.8716807123549054,0.0,0.0,0.0,0.6042781897000298,0.17542856595371276,0.11360681606926057,9.0,0.4753982192187598,45.0,platt,0.456,0.786
CNN (3-layer),0.8716807123549054,0.0,0.0,0.0,0.4264207927080946,0.12401130160017845,0.12198454865335749,3.0,0.367955933240327,45.0,platt,0.369,0.497
Random Forest,0.817618063285101,0.07711442786069651,0.03841387856257745,0.05128205128205128,0.4552085975188824,0.11241309565739753,0.1571935744572664,,,45.0,,,
Ensemble (avg),0.8716807123549054,0.0,0.0,0.0,0.4627900163970222,0.11280240437941358,0.12154931324954435,,,,,,
Ensemble (60%GRU),0.8716807123549054,0.0,0.0,0.0,0.4665540529849407,0.11306310714193751,0.11774467269129253,,,,,,
