epoch,train_loss,val_loss
1,0.7930671290347451,1.0763690295042816
2,0.7137009608118158,1.0507581435419895
3,0.6186568486063104,1.1609689438784565
4,0.523781429780157,2.0104613294480025
5,0.43111605989305596,1.0836281235571261
6,0.38597350246027895,1.506786015574579
7,0.30984363602964504,0.6989663549595408
8,0.26598535556542247,1.906649504546766
9,0.21941224117028085,2.2059940570551486
10,0.1790701643416756,1.4195853775298153
11,0.1643844557435889,1.8400179167036657
12,0.13720791732010088,4.037699719477031
