model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,best_epoch,best_val_loss,seed,calibration,auc_ci_lo,auc_ci_hi
GRU (2-layer),0.28954534202491955,0.12403424514512425,0.84375,0.2162752594210814,0.5242572021328965,0.11837481577467389,0.364154192936144,1.0,1.2008149171317066,46.0,platt,0.45,0.588
CNN (3-layer),0.7111972935060649,0.20317820658342792,0.5085227272727273,0.29034874290348744,0.6188629759338318,0.22855555560940466,0.20479935835587432,7.0,0.6989663549595408,46.0,platt,0.345,0.794
Random Forest,0.8263058008086476,0.16263310745401743,0.11931818181818182,0.13764850471118395,0.5901685607828825,0.15564802335730907,0.15635482093826572,,,46.0,,,
Ensemble (avg),0.6262067827378497,0.15078299776286352,0.4786931818181818,0.2293297039809459,0.5736661705044093,0.13691208262530596,0.23072946055054352,,,,,,
Ensemble (60%GRU),0.5440217839755755,0.14278278972935463,0.5845170454545454,0.2295036252091467,0.5630579836149753,0.13034275271168602,0.25269039960579787,,,,,,
