model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,best_epoch,best_val_loss,seed,calibration,auc_ci_lo,auc_ci_hi
GRU (2-layer),0.6525843392138657,0.0,0.0,0.0,0.5083439445705235,0.321066332048344,0.2504240163437129,1.0,1.6110713574793432,45.0,platt,0.296,0.637
CNN (3-layer),0.6778087279480037,0.5240058910162003,0.7924276169265033,0.6308510638297873,0.7400527507442831,0.5351208396803484,0.19036369209287432,8.0,0.8449085271590716,45.0,platt,0.393,0.841
Random Forest,0.6765707211389662,0.5275115370962017,0.6619153674832963,0.5871197155274595,0.7446878764656577,0.5570363707434917,0.20769903808947315,,,45.0,,,
Ensemble (avg),0.663107397090684,0.5582191780821918,0.14521158129175946,0.2304701307882644,0.7468061452398896,0.5496759390658862,0.19842794745360237,,,,,,
Ensemble (60%GRU),0.6545961002785515,1.0,0.005790645879732739,0.011514614703277236,0.7443602176575563,0.5405300038453172,0.20392578846954595,,,,,,
