model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,best_epoch,best_val_loss,seed,calibration,auc_ci_lo,auc_ci_hi
GRU (2-layer),0.7908415841584159,0.23096774193548386,0.2998324958123953,0.260932944606414,0.6211101378451892,0.16631044387728353,0.19361838864681533,3.0,2.3179508076523834,44.0,platt,0.579,0.638
CNN (3-layer),0.5503300330033003,0.17414573898723754,0.7085427135678392,0.2795769993390615,0.6863859405236014,0.21992051644979269,0.248046047318197,1.0,1.2148743991581898,44.0,platt,0.524,0.74
Random Forest,0.8263201320132013,0.06405693950177936,0.03015075376884422,0.04100227790432802,0.5083663435975455,0.11394603198762579,0.14466224984982623,,,44.0,,,
Ensemble (avg),0.8205445544554455,0.014234875444839857,0.006700167504187605,0.009111617312072893,0.569519754342953,0.1302439319224317,0.1549545452473444,,,,,,
Ensemble (60%GRU),0.8162128712871287,0.01644736842105263,0.008375209380234505,0.011098779134295227,0.5834575527996761,0.13562008433014713,0.16041759008708237,,,,,,
