model,accuracy_mean,accuracy_std,accuracy_min,accuracy_median,accuracy_max,precision_mean,precision_std,precision_min,precision_median,precision_max,recall_mean,recall_std,recall_min,recall_median,recall_max,f1_mean,f1_std,f1_min,f1_median,f1_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_median,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_median,pr_auc_max,brier_mean,brier_std,brier_min,brier_median,brier_max,auc_ci_lo_mean,auc_ci_lo_std,auc_ci_lo_min,auc_ci_lo_median,auc_ci_lo_max,auc_ci_hi_mean,auc_ci_hi_std,auc_ci_hi_min,auc_ci_hi_median,auc_ci_hi_max,n_seeds,tier,source,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,tab_dim,best_epoch,best_val_loss,seed,auc_ci_lo,auc_ci_hi
CNN (3-layer),0.7666,0.1832,0.5503,0.6923,0.9896,0.1396,0.2277,0.0,0.0,0.524,0.3002,0.4121,0.0,0.0,0.7924,0.1821,0.2786,0.0,0.0,0.6309,0.464,0.2325,0.2357,0.3596,0.7401,0.2082,0.2087,0.0067,0.2199,0.5351,0.156,0.101,0.0238,0.1904,0.248,0.315,0.1414,0.18,0.254,0.524,0.5986,0.1865,0.402,0.551,0.841,5.0,Tier-2,multi-seed,,,,,,,,,,,,,
Ensemble (60%GRU),0.809,0.1354,0.6546,0.8162,0.9628,0.2033,0.4454,0.0,0.0,1.0,0.0028,0.004,0.0,0.0,0.0084,0.0045,0.0062,0.0,0.0,0.0115,0.6111,0.1979,0.3234,0.5835,0.8416,0.2275,0.2212,0.0348,0.1356,0.5405,0.1523,0.0717,0.0656,0.1604,0.2361,,,,,,,,,,,5.0,Tier-2,multi-seed,,,,,,,,,,,,,
Ensemble (avg),0.8104,0.1315,0.6631,0.8205,0.9668,0.2954,0.4165,0.0,0.0142,0.9048,0.0317,0.0635,0.0,0.0065,0.1452,0.0505,0.1008,0.0,0.0091,0.2305,0.6105,0.2016,0.3269,0.5695,0.8531,0.2281,0.2239,0.0371,0.1302,0.5497,0.1505,0.071,0.0615,0.155,0.2369,,,,,,,,,,,5.0,Tier-2,multi-seed,,,,,,,,,,,,,
GRU (2-layer),0.8041,0.1366,0.6526,0.7908,0.9612,0.0554,0.1001,0.0,0.0,0.231,0.0891,0.1336,0.0,0.0,0.2998,0.0662,0.113,0.0,0.0,0.2609,0.5602,0.1619,0.3039,0.6211,0.7172,0.2044,0.1822,0.0272,0.1663,0.4556,0.1702,0.0814,0.0817,0.1936,0.2504,0.4198,0.1553,0.249,0.394,0.581,0.6394,0.1371,0.417,0.638,0.761,5.0,Tier-2,multi-seed,,,,,,,,,,,,,
Random Forest,0.7945,0.1137,0.6766,0.8183,0.9566,0.2281,0.2721,0.0,0.0641,0.5275,0.1643,0.2801,0.0,0.038,0.6619,0.163,0.2443,0.0,0.041,0.5871,0.5911,0.1954,0.3351,0.5431,0.8245,0.2248,0.2275,0.036,0.1139,0.557,0.1583,0.076,0.0489,0.1447,0.2491,,,,,,,,,,,5.0,Tier-2,multi-seed,,,,,,,,,,,,,
SW_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier-3,multimodal-ablation,0.6923158452570217,0.0,0.0,0.0,0.591267000225077,0.4040150819926709,0.2384486351295529,0.0,2.0,1.066448,42.0,0.499,0.634
SW_inhaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier-3,multimodal-ablation,0.6923158452570217,0.0,0.0,0.0,0.4256065530959274,0.3237234822017156,0.244229447228353,6.0,2.0,1.290438,42.0,0.08,0.547
SW_inhaler_pef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier-3,multimodal-ablation,0.6923158452570217,0.0,0.0,0.0,0.5521775043617906,0.3709274601752936,0.2379042465023169,21.0,2.0,1.388646,42.0,0.155,0.701
Full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier-3,multimodal-ablation,0.724960254372019,0.826271186440678,0.1343437822941784,0.2311111111111111,0.3090271398192507,0.340266511548259,0.2414557944491598,87.0,1.0,1.86365,42.0,0.118,0.941
