model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,tab_dim,best_epoch,best_val_loss,seed,auc_ci_lo,auc_ci_hi
SW_only,0.6923158452570217,0.0,0.0,0.0,0.591267000225077,0.40401508199267094,0.2384486351295529,0,2,1.066448,42,0.499,0.634
SW_inhaler,0.6923158452570217,0.0,0.0,0.0,0.4256065530959274,0.32372348220171565,0.24422944722835302,6,2,1.290438,42,0.08,0.547
SW_inhaler_pef,0.6923158452570217,0.0,0.0,0.0,0.5521775043617906,0.37092746017529366,0.2379042465023169,21,2,1.388646,42,0.155,0.701
Full,0.724960254372019,0.826271186440678,0.13434378229417843,0.2311111111111111,0.3090271398192507,0.34026651154825904,0.24145579444915982,87,1,1.86365,42,0.118,0.941
