model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,best_epoch,best_val_loss,seed,calibration,auc_ci_lo,auc_ci_hi
GRU (2-layer),0.9236680327868853,0.0,0.0,0.0,0.3039093432397657,0.051930262173680346,0.08169327397090052,7.0,0.5668719311058521,43.0,platt,0.249,0.417
CNN (3-layer),0.9228142076502732,0.0,0.0,0.0,0.2356516585374529,0.0466275119215306,0.07625232404351358,1.0,0.4595794630795717,43.0,platt,0.18,0.459
Random Forest,0.8183060109289617,0.026113671274961597,0.03803131991051454,0.030965391621129327,0.3351179966440885,0.05329209210533634,0.14114412864643783,,,43.0,,,
Ensemble (avg),0.9074453551912568,0.0,0.0,0.0,0.32686429072765044,0.05270938004729432,0.1007112077847028,,,,,,
Ensemble (60%GRU),0.9192281420765027,0.0,0.0,0.0,0.32344716714168076,0.05247269148923861,0.09519442205810773,,,,,,
