model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,best_epoch,best_val_loss,seed,calibration,auc_ci_lo,auc_ci_hi
GRU (2-layer),0.6923158452570217,0.0,0.0,0.0,0.6505165539207176,0.45560702731010994,0.2387050985774801,1.0,1.5466690124571323,42.0,platt,0.394,0.744
CNN (3-layer),0.6923158452570217,0.0,0.0,0.0,0.3595736530341419,0.2324287445467553,0.24147440781177426,1.0,3.013657153341919,42.0,platt,0.224,0.551
Random Forest,0.6947535771065183,0.5225933202357563,0.09162934894936273,0.1559202813599062,0.5430663139826846,0.36362536380302596,0.24909256382704578,,,42.0,,,
Ensemble (avg),0.6941176470588235,0.9047619047619048,0.006544953496383052,0.012995896032831737,0.5561084685711657,0.3705135249649357,0.2368972400664022,,,,,,
Ensemble (60%GRU),0.6923158452570217,0.0,0.0,0.0,0.5627795664640691,0.3741788424432346,0.23613855718688007,,,,,,
